id,symbol,name,current_price,market_cap,total_volume,price_change_percentage_24h,market_cap_rank,fetch_time
kucoin-shares,kcs,KuCoin,11.04,1379971641,7523700.0,0.41628,77,2025-06-25 02:46:38.531670
binance-staked-sol,bnsol,Binance Staked SOL,153.26,1297841146,2809489.0,2.73239,78,2025-06-25 02:46:38.531670
usdt0,usdt0,USDT0,1.002,1291700227,361052478.0,0.17324,79,2025-06-25 02:46:38.531670
kaia,kaia,Kaia,0.214472,1259029598,121335979.0,7.76601,80,2025-06-25 02:46:38.531670
spx6900,spx,SPX6900,1.32,1229885074,131793976.0,10.7515,81,2025-06-25 02:46:38.531670
jupiter-exchange-solana,jup,Jupiter,0.41237,1217618415,93341091.0,9.49845,82,2025-06-25 02:46:38.531670
nexo,nexo,NEXO,1.21,1214360018,14099357.0,2.84058,83,2025-06-25 02:46:38.531670
flare-networks,flr,Flare,0.01732845,1167345257,8006425.0,3.18856,84,2025-06-25 02:46:38.531670
rocket-pool-eth,reth,Rocket Pool ETH,2784.02,1149184654,7526509.0,3.94898,85,2025-06-25 02:46:38.531670
kelp-dao-restaked-eth,rseth,Kelp DAO Restaked ETH,2557.48,1132227096,1427897.0,3.82682,86,2025-06-25 02:46:38.531670
injective-protocol,inj,Injective,11.57,1131092398,215157594.0,10.44823,87,2025-06-25 02:46:38.531670
celestia,tia,Celestia,1.62,1109716609,104724837.0,7.82447,88,2025-06-25 02:46:38.531670
bonk,bonk,Bonk,1.407e-05,1089322854,241292575.0,6.37554,89,2025-06-25 02:46:38.531670
sonic-3,s,Sonic,0.339805,1079013195,241508472.0,11.42022,90,2025-06-25 02:46:38.531670
virtual-protocol,virtual,Virtuals Protocol,1.59,1041484498,347020048.0,-1.53613,91,2025-06-25 02:46:38.531670
polygon-bridged-usdt-polygon,usdt,Polygon Bridged USDT (Polygon),1.0,1030121404,31914341.0,-0.01196,92,2025-06-25 02:46:38.531670
fartcoin,fartcoin,Fartcoin,1.018,1018984222,342620332.0,2.14511,93,2025-06-25 02:46:38.531670
blockstack,stx,Stacks,0.662931,1015533160,57320226.0,8.53748,94,2025-06-25 02:46:38.531670
binance-bridged-usdc-bnb-smart-chain,usdc,Binance Bridged USDC (BNB Smart Chain),1.0,999422994,328756658.0,0.0435,95,2025-06-25 02:46:38.531670
optimism,op,Optimism,0.558344,978518425,202289635.0,4.84894,96,2025-06-25 02:46:38.531670
xdce-crowd-sale,xdc,XDC Network,0.060124,975007499,30470326.0,5.49071,97,2025-06-25 02:46:38.531670
paypal-usd,pyusd,PayPal USD,0.999984,939041147,29194215.0,-0.00151,98,2025-06-25 02:46:38.531670
mantle-staked-ether,meth,Mantle Staked Ether,2614.27,911612301,2184197.0,4.23487,99,2025-06-25 02:46:38.531670
stakewise-v3-oseth,oseth,StakeWise Staked ETH,2563.32,901832931,1070787.0,3.86453,100,2025-06-25 02:46:38.531670
